#     r         beta        Ep   
   5.00000     0.40000   107.49936
   0.10000     0.50000   107.47842
   0.20000     0.50000   107.20467
   0.30000     0.50000   106.52084
   0.40000     0.50000   105.78488
   0.50000     0.50000   104.45605
   0.60000     0.50000   102.28495
   0.70000     0.50000   104.46655
   0.80000     0.50000   106.03345
   0.90000     0.50000   106.88565
   1.00000     0.50000   107.60140
   1.10000     0.50000   107.57418
   1.20000     0.50000   107.42224
   1.30000     0.50000   107.42423
   1.40000     0.50000   107.54817
   1.50000     0.50000   107.39328
   1.60000     0.50000   107.64736
   1.70000     0.50000   107.71297
   1.80000     0.50000   107.53301
   1.90000     0.50000   107.74656
   2.00000     0.50000   107.37316
   2.10000     0.50000   107.62212
   2.20000     0.50000   107.23893
   2.30000     0.50000   107.65328
   2.40000     0.50000   107.88081
   2.50000     0.50000   107.79065
   2.60000     0.50000   107.75732
   2.70000     0.50000   107.68894
   2.80000     0.50000   107.88026
   2.90000     0.50000   107.97533
   3.00000     0.50000   107.65476
   3.10000     0.50000   107.84822
   3.20000     0.50000   107.93800
   3.30000     0.50000   108.05527
   3.40000     0.50000   108.24213
   3.50000     0.50000   108.08904
   3.60000     0.50000   107.71388
   3.70000     0.50000   107.59481
   3.80000     0.50000   107.61178
   3.90000     0.50000   107.73799
   4.00000     0.50000   107.59498
   4.10000     0.50000   107.74440
   4.20000     0.50000   107.32627
   4.30000     0.50000   107.87738
   4.40000     0.50000   107.86869
   4.50000     0.50000   107.72451
   4.60000     0.50000   107.80821
   4.70000     0.50000   107.96327
   4.80000     0.50000   107.52331
   4.90000     0.50000   107.68269
   5.00000     0.50000   107.83757
   0.10000     0.60000   107.68508
   0.20000     0.60000   106.94265
   0.30000     0.60000   106.66698
   0.40000     0.60000   106.83724
   0.50000     0.60000   105.75219
   0.60000     0.60000   105.96901
   0.70000     0.60000   105.56880
   0.80000     0.60000   104.62554
   0.90000     0.60000   106.82276
   1.00000     0.60000   107.75464
   1.10000     0.60000   107.57970
   1.20000     0.60000   107.48313
   1.30000     0.60000   108.12485
   1.40000     0.60000   107.48706
   1.50000     0.60000   108.01959
   1.60000     0.60000   107.79704
   1.70000     0.60000   107.51850
   1.80000     0.60000   107.70338
   1.90000     0.60000   107.79164
   2.00000     0.60000   107.62786
   2.10000     0.60000   107.73621
   2.20000     0.60000   107.68649
   2.30000     0.60000   107.73575
   2.40000     0.60000   107.76467
   2.50000     0.60000   107.85305
   2.60000     0.60000   107.79887
   2.70000     0.60000   108.06637
   2.80000     0.60000   108.06565
   2.90000     0.60000   107.78568
   3.00000     0.60000   107.70734
   3.10000     0.60000   107.92972
   3.20000     0.60000   107.98822
   3.30000     0.60000   107.57533
   3.40000     0.60000   107.85692
   3.50000     0.60000   107.88420
   3.60000     0.60000   107.71626
   3.70000     0.60000   107.63128
   3.80000     0.60000   107.61589
   3.90000     0.60000   107.72166
   4.00000     0.60000   107.68167
   4.10000     0.60000   107.60149
   4.20000     0.60000   108.01635
   4.30000     0.60000   107.56530
   4.40000     0.60000   107.65306
   4.50000     0.60000   107.62354
   4.60000     0.60000   107.59487
   4.70000     0.60000   107.76063
   4.80000     0.60000   107.63458
   4.90000     0.60000   107.60690
   5.00000     0.60000   107.98136
   0.10000     0.70000   107.40788
   0.20000     0.70000   107.30115
   0.30000     0.70000   106.74471
   0.40000     0.70000   106.83841
   0.50000     0.70000   106.13515
   0.60000     0.70000   105.65953
   0.70000     0.70000   105.08135
   0.80000     0.70000   104.53056
   0.90000     0.70000   103.93796
   1.00000     0.70000   103.42577
   1.10000     0.70000   107.58516
   1.20000     0.70000   108.02898
   1.30000     0.70000   107.57852
   1.40000     0.70000   107.81363
   1.50000     0.70000   107.96861
   1.60000     0.70000   108.07722
   1.70000     0.70000   107.54014
   1.80000     0.70000   108.03973
   1.90000     0.70000   107.61662
   2.00000     0.70000   107.92218
   2.10000     0.70000   108.12463
   2.20000     0.70000   107.75803
   2.30000     0.70000   107.61587
   2.40000     0.70000   107.82726
   2.50000     0.70000   107.93587
   2.60000     0.70000   107.55441
   2.70000     0.70000   107.70006
   2.80000     0.70000   107.69050
   2.90000     0.70000   107.81050
   3.00000     0.70000   107.95238
   3.10000     0.70000   108.02004
   3.20000     0.70000   107.93663
