#     r         beta        Ep   
   0.10000     0.10000   103.05439
   0.20000     0.10000   102.56791
   0.30000     0.10000   102.41320
   0.40000     0.10000   102.56685
   0.50000     0.10000   102.61194
   0.60000     0.10000   102.65341
   0.70000     0.10000   102.14504
   0.80000     0.10000   102.32622
   0.90000     0.10000   102.46292
   1.00000     0.10000   102.41506
   1.10000     0.10000   102.43429
   1.20000     0.10000   102.08101
   1.30000     0.10000   102.36755
   1.40000     0.10000   102.45530
   1.50000     0.10000   102.79816
   1.60000     0.10000   102.66315
   1.70000     0.10000   103.05249
   1.80000     0.10000   102.79360
   1.90000     0.10000   102.08126
   2.00000     0.10000   102.03866
   2.10000     0.10000   102.31692
   2.20000     0.10000   102.45684
   2.30000     0.10000   102.41556
   2.40000     0.10000   102.18122
   2.50000     0.10000   103.07690
   2.60000     0.10000   102.49271
   2.70000     0.10000   102.57516
   2.80000     0.10000   103.11091
   2.90000     0.10000   102.94738
   3.00000     0.10000   102.22794
   3.10000     0.10000   102.70192
   3.20000     0.10000   103.03189
   3.30000     0.10000   102.36626
   3.40000     0.10000   102.52133
   3.50000     0.10000   102.81058
   3.60000     0.10000   102.73443
   3.70000     0.10000   102.86183
   3.80000     0.10000   102.72621
   3.90000     0.10000   102.25288
   4.00000     0.10000   102.80883
   4.10000     0.10000   102.65634
   4.20000     0.10000   103.42680
   4.30000     0.10000   102.56504
   4.40000     0.10000   102.31070
   4.50000     0.10000   102.39158
   4.60000     0.10000   102.98658
   4.70000     0.10000   102.59102
   4.80000     0.10000   102.90842
   4.90000     0.10000   102.57721
   5.00000     0.10000   102.87527
   0.10000     0.20000   102.83224
   0.20000     0.20000   102.31007
   0.30000     0.20000   102.38227
   0.40000     0.20000   102.02257
   0.50000     0.20000   102.07244
   0.60000     0.20000   102.27502
   0.70000     0.20000   102.40616
   0.80000     0.20000   102.18840
   0.90000     0.20000   102.35607
   1.00000     0.20000   102.55917
   1.10000     0.20000   102.47413
   1.20000     0.20000   102.73351
   1.30000     0.20000   102.87405
   1.40000     0.20000   101.91754
   1.50000     0.20000   102.51071
   1.60000     0.20000   102.72888
   1.70000     0.20000   103.16463
   1.80000     0.20000   102.87669
   1.90000     0.20000   102.55832
   2.00000     0.20000   102.92939
   2.10000     0.20000   103.07879
   2.20000     0.20000   102.69215
   2.30000     0.20000   102.32603
   2.40000     0.20000   102.59575
   2.50000     0.20000   102.07190
   2.60000     0.20000   103.21985
   2.70000     0.20000   102.84841
   2.80000     0.20000   102.49839
   2.90000     0.20000   102.24401
   3.00000     0.20000   102.65563
   3.10000     0.20000   102.86124
   3.20000     0.20000   102.43162
   3.30000     0.20000   102.34928
   3.40000     0.20000   102.88480
   3.50000     0.20000   102.65612
   3.60000     0.20000   102.62748
   3.70000     0.20000   102.35562
   3.80000     0.20000   102.58369
   3.90000     0.20000   102.47092
   4.00000     0.20000   102.61496
   4.10000     0.20000   102.72053
   4.20000     0.20000   102.38898
   4.30000     0.20000   102.54292
   4.40000     0.20000   102.74521
   4.50000     0.20000   102.57470
   4.60000     0.20000   102.51486
   4.70000     0.20000   103.34436
   4.80000     0.20000   102.06010
   4.90000     0.20000   102.75245
   5.00000     0.20000   102.70971
   0.10000     0.30000   102.30709
   0.20000     0.30000   101.94766
   0.30000     0.30000   101.66208
   0.40000     0.30000   101.26214
   0.50000     0.30000   101.16225
   0.60000     0.30000   101.41541
   0.70000     0.30000   101.40136
   0.80000     0.30000   102.16929
   0.90000     0.30000   101.88463
   1.00000     0.30000   102.34100
   1.10000     0.30000   102.22013
   1.20000     0.30000   102.71420
   1.30000     0.30000   102.42034
   1.40000     0.30000   102.27425
   1.50000     0.30000   102.72138
   1.60000     0.30000   102.47461
   1.70000     0.30000   102.79692
   1.80000     0.30000   102.86216
   1.90000     0.30000   103.00225
   2.00000     0.30000   102.54778
   2.10000     0.30000   102.54925
   2.20000     0.30000   102.85795
   2.30000     0.30000   102.38418
   2.40000     0.30000   102.84180
   2.50000     0.30000   102.72485
   2.60000     0.30000   102.69487
   2.70000     0.30000   102.71653
   2.80000     0.30000   103.01386
   2.90000     0.30000   103.06358
   3.00000     0.30000   102.71645
   3.10000     0.30000   102.50301
   3.20000     0.30000   102.56388
   3.30000     0.30000   102.83249
   3.40000     0.30000   102.58001
   3.50000     0.30000   102.80458
   3.60000     0.30000   102.57833
   3.70000     0.30000   102.24368
   3.80000     0.30000   102.59190
   3.90000     0.30000   103.12925
   4.00000     0.30000   102.98237
   4.10000     0.30000   102.59310
   4.20000     0.30000   103.19719
   4.30000     0.30000   102.94741
   4.40000     0.30000   102.75741
   4.50000     0.30000   102.78150
   4.60000     0.30000   102.07573
   4.70000     0.30000   102.69242
   4.80000     0.30000   102.67335
   4.90000     0.30000   102.84937
   5.00000     0.30000   102.46531
   0.10000     0.40000   102.56125
   0.20000     0.40000   101.25858
   0.30000     0.40000   100.25456
   0.40000     0.40000    99.91612
   0.50000     0.40000    99.27458
   0.60000     0.40000    99.35489
   0.70000     0.40000    99.97566
   0.80000     0.40000   101.35362
   0.90000     0.40000   101.26219
   1.00000     0.40000   101.93548
   1.10000     0.40000   102.24484
   1.20000     0.40000   102.29793
   1.30000     0.40000   102.30812
   1.40000     0.40000   102.53638
   1.50000     0.40000   102.58903
   1.60000     0.40000   102.49146
   1.70000     0.40000   102.52793
   1.80000     0.40000   102.68540
   1.90000     0.40000   102.64682
   2.00000     0.40000   102.61968
   2.10000     0.40000   103.15493
   2.20000     0.40000   102.69374
   2.30000     0.40000   102.68040
   2.40000     0.40000   102.78812
   2.50000     0.40000   102.42667
   2.60000     0.40000   103.05488
   2.70000     0.40000   102.56442
   2.80000     0.40000   102.72831
   2.90000     0.40000   102.47644
   3.00000     0.40000   102.99308
   3.10000     0.40000   102.55514
   3.20000     0.40000   102.76466
   3.30000     0.40000   102.48861
   3.40000     0.40000   102.39509
   3.50000     0.40000   103.05306
   3.60000     0.40000   102.83920
   3.70000     0.40000   103.05406
   3.80000     0.40000   102.41940
   3.90000     0.40000   102.36120
   4.00000     0.40000   102.53606
   4.10000     0.40000   102.52637
   4.20000     0.40000   102.50965
   4.30000     0.40000   102.92383
   4.40000     0.40000   102.68055
   4.50000     0.40000   102.79167
   4.60000     0.40000   102.38486
   4.70000     0.40000   102.95842
   4.80000     0.40000   102.56883
   4.90000     0.40000   102.60741
   5.00000     0.40000   102.71594
   0.10000     0.50000   102.71181
   0.20000     0.50000   101.91893
   0.30000     0.50000   101.25907
   0.40000     0.50000   100.34411
   0.50000     0.50000    99.11976
   0.60000     0.50000    96.77430
   0.70000     0.50000    97.50110
   0.80000     0.50000    98.93058
   0.90000     0.50000   100.11835
   1.00000     0.50000   101.73191
   1.10000     0.50000   102.28039
   1.20000     0.50000   101.97469
   1.30000     0.50000   102.76278
   1.40000     0.50000   102.23144
   1.50000     0.50000   102.24874
   1.60000     0.50000   103.48015
   1.70000     0.50000   102.90163
   1.80000     0.50000   102.84586
   1.90000     0.50000   102.62997
   2.00000     0.50000   102.36880
   2.10000     0.50000   102.84115
   2.20000     0.50000   102.96625
   2.30000     0.50000   102.44919
   2.40000     0.50000   101.97435
   2.50000     0.50000   102.95732
   2.60000     0.50000   102.47133
   2.70000     0.50000   103.03408
   2.80000     0.50000   102.96031
   2.90000     0.50000   102.62006
   3.00000     0.50000   102.52079
   3.10000     0.50000   102.64502
   3.20000     0.50000   103.09763
   3.30000     0.50000   102.46349
   3.40000     0.50000   102.41263
   3.50000     0.50000   102.80747
   3.60000     0.50000   102.74038
   3.70000     0.50000   102.35679
   3.80000     0.50000   102.87003
   3.90000     0.50000   102.71177
   4.00000     0.50000   102.51105
   4.10000     0.50000   103.07324
   4.20000     0.50000   102.80960
   4.30000     0.50000   102.60683
   4.40000     0.50000   102.72641
   4.50000     0.50000   103.08163
   4.60000     0.50000   102.31515
   4.70000     0.50000   103.16783
   4.80000     0.50000   103.22277
   4.90000     0.50000   102.30143
   5.00000     0.50000   102.81564
   0.10000     0.60000   102.05529
   0.20000     0.60000   101.96434
   0.30000     0.60000   101.26720
   0.40000     0.60000   100.66674
   0.50000     0.60000   100.32847
   0.60000     0.60000    99.77623
   0.70000     0.60000    98.54230
   0.80000     0.60000    98.69518
   0.90000     0.60000    99.39729
   1.00000     0.60000   101.77389
   1.10000     0.60000   102.41616
   1.20000     0.60000   102.16674
   1.30000     0.60000   102.81376
   1.40000     0.60000   102.37724
   1.50000     0.60000   102.16048
   1.60000     0.60000   102.69357
   1.70000     0.60000   102.76190
   1.80000     0.60000   102.24948
   1.90000     0.60000   102.51030
   2.00000     0.60000   102.53007
   2.10000     0.60000   103.19060
   2.20000     0.60000   103.07192
   2.30000     0.60000   102.75527
   2.40000     0.60000   102.80130
   2.50000     0.60000   103.04859
   2.60000     0.60000   102.50449
   2.70000     0.60000   103.12208
   2.80000     0.60000   102.46146
   2.90000     0.60000   102.52546
   3.00000     0.60000   102.42005
   3.10000     0.60000   102.47041
   3.20000     0.60000   102.67641
   3.30000     0.60000   102.74974
   3.40000     0.60000   102.85232
   3.50000     0.60000   102.94476
   3.60000     0.60000   103.13635
   3.70000     0.60000   102.91945
   3.80000     0.60000   102.23536
   3.90000     0.60000   102.74501
   4.00000     0.60000   102.84421
   4.10000     0.60000   102.36562
   4.20000     0.60000   102.27019
   4.30000     0.60000   102.42128
   4.40000     0.60000   102.61514
   4.50000     0.60000   102.54464
   4.60000     0.60000   103.04144
   4.70000     0.60000   102.84425
   4.80000     0.60000   102.48968
   4.90000     0.60000   102.27777
   5.00000     0.60000   102.51455
   0.10000     0.70000   102.27441
   0.20000     0.70000   101.77888
   0.30000     0.70000   101.56681
   0.40000     0.70000   100.79546
   0.50000     0.70000   100.77677
   0.60000     0.70000    99.68004
   0.70000     0.70000    98.62213
   0.80000     0.70000    98.07649
   0.90000     0.70000    97.33386
   1.00000     0.70000    96.75734
   1.10000     0.70000   102.13924
   1.20000     0.70000   102.57724
   1.30000     0.70000   103.02898
   1.40000     0.70000   102.97767
   1.50000     0.70000   102.81689
   1.60000     0.70000   102.69305
   1.70000     0.70000   102.71679
   1.80000     0.70000   102.58328
   1.90000     0.70000   102.58340
   2.00000     0.70000   102.64635
   2.10000     0.70000   103.08122
   2.20000     0.70000   102.74133
   2.30000     0.70000   102.76457
   2.40000     0.70000   103.14326
   2.50000     0.70000   102.70549
   2.60000     0.70000   102.59053
   2.70000     0.70000   102.88709
   2.80000     0.70000   102.45361
   2.90000     0.70000   102.94695
   3.00000     0.70000   103.00219
   3.10000     0.70000   102.48325
   3.20000     0.70000   102.71332
   3.30000     0.70000   103.14411
   3.40000     0.70000   102.82149
   3.50000     0.70000   102.94863
   3.60000     0.70000   102.63292
   3.70000     0.70000   102.34548
   3.80000     0.70000   102.74372
   3.90000     0.70000   102.68061
   4.00000     0.70000   102.36109
   4.10000     0.70000   102.61904
   4.20000     0.70000   102.65405
   4.30000     0.70000   102.95515
   4.40000     0.70000   102.82612
   4.50000     0.70000   102.47242
   4.60000     0.70000   102.69573
   4.70000     0.70000   102.90822
   4.80000     0.70000   102.64219
   4.90000     0.70000   102.75231
   5.00000     0.70000   102.72030
   0.10000     0.80000   102.56135
   0.20000     0.80000   101.76288
   0.30000     0.80000   100.99480
   0.40000     0.80000   100.55281
   0.50000     0.80000    99.99528
   0.60000     0.80000    99.05852
   0.70000     0.80000    98.77116
   0.80000     0.80000    97.84954
   0.90000     0.80000    96.62220
   1.00000     0.80000    95.46439
   1.10000     0.80000    95.12195
   1.20000     0.80000   102.81803
   1.30000     0.80000   102.70143
   1.40000     0.80000   102.71572
   1.50000     0.80000   102.84342
   1.60000     0.80000   102.40211
   1.70000     0.80000   102.75984
   1.80000     0.80000   102.70273
   1.90000     0.80000   102.42396
   2.00000     0.80000   102.95159
   2.10000     0.80000   102.84036
   2.20000     0.80000   102.43218
   2.30000     0.80000   102.90877
   2.40000     0.80000   102.86702
   2.50000     0.80000   102.80008
   2.60000     0.80000   102.75007
   2.70000     0.80000   102.51729
   2.80000     0.80000   102.60342
   2.90000     0.80000   102.42511
   3.00000     0.80000   102.64133
   3.10000     0.80000   102.49389
   3.20000     0.80000   102.96754
   3.30000     0.80000   102.67299
   3.40000     0.80000   102.40810
   3.50000     0.80000   102.81659
   3.60000     0.80000   102.53703
   3.70000     0.80000   102.26885
   3.80000     0.80000   103.12990
   3.90000     0.80000   102.58649
   4.00000     0.80000   102.67982
   4.10000     0.80000   102.92154
   4.20000     0.80000   102.77044
   4.30000     0.80000   102.96762
   4.40000     0.80000   103.07698
   4.50000     0.80000   102.25462
   4.60000     0.80000   103.24080
   4.70000     0.80000   102.56993
   4.80000     0.80000   102.93127
   4.90000     0.80000   102.50119
   5.00000     0.80000   102.28915
   0.10000     0.90000   102.15411
   0.20000     0.90000   102.04674
   0.30000     0.90000   101.06299
   0.40000     0.90000   100.29110
   0.50000     0.90000    99.50096
   0.60000     0.90000    98.87561
   0.70000     0.90000    98.28382
   0.80000     0.90000    97.43295
   0.90000     0.90000    96.54855
   1.00000     0.90000    95.86641
