#     r         beta        Ep   
   0.10000     0.10000   111.32456
   0.20000     0.10000   111.34069
   0.30000     0.10000   111.31720
   0.40000     0.10000   111.29154
   0.50000     0.10000   111.31677
   0.60000     0.10000   111.30407
   0.70000     0.10000   111.35133
   0.80000     0.10000   111.34606
   0.90000     0.10000   111.34392
   1.00000     0.10000   111.29739
   1.10000     0.10000   111.34010
   1.20000     0.10000   111.32968
   1.30000     0.10000   111.29335
   1.40000     0.10000   111.33021
   1.50000     0.10000   111.31128
   1.60000     0.10000   111.32909
   1.70000     0.10000   111.30225
   1.80000     0.10000   111.31586
   1.90000     0.10000   111.32644
   2.00000     0.10000   111.35441
   2.10000     0.10000   111.33245
   2.20000     0.10000   111.31309
   2.30000     0.10000   111.33906
   2.40000     0.10000   111.32593
   2.50000     0.10000   111.31169
   2.60000     0.10000   111.28290
   2.70000     0.10000   111.34970
   2.80000     0.10000   111.35000
   2.90000     0.10000   111.31312
   3.00000     0.10000   111.32600
   3.10000     0.10000   111.29489
   3.20000     0.10000   111.33365
   3.30000     0.10000   111.31592
   3.40000     0.10000   111.34183
   3.50000     0.10000   111.32230
   3.60000     0.10000   111.33890
   3.70000     0.10000   111.32771
   3.80000     0.10000   111.32366
   3.90000     0.10000   111.33267
   4.00000     0.10000   111.32790
   4.10000     0.10000   111.35173
   4.20000     0.10000   111.29174
   4.30000     0.10000   111.33771
   4.40000     0.10000   111.29705
   4.50000     0.10000   111.31167
   4.60000     0.10000   111.31637
   4.70000     0.10000   111.34016
   4.80000     0.10000   111.30155
   4.90000     0.10000   111.33373
   5.00000     0.10000   111.33831
   0.10000     0.20000   111.29924
   0.20000     0.20000   111.30401
   0.30000     0.20000   111.30600
   0.40000     0.20000   111.31058
   0.50000     0.20000   111.32439
   0.60000     0.20000   111.32138
   0.70000     0.20000   111.33140
   0.80000     0.20000   111.31571
   0.90000     0.20000   111.28841
   1.00000     0.20000   111.32518
   1.10000     0.20000   111.33186
   1.20000     0.20000   111.35023
   1.30000     0.20000   111.33719
   1.40000     0.20000   111.29445
   1.50000     0.20000   111.34334
   1.60000     0.20000   111.34573
   1.70000     0.20000   111.34149
   1.80000     0.20000   111.32281
   1.90000     0.20000   111.34733
   2.00000     0.20000   111.30302
   2.10000     0.20000   111.31299
   2.20000     0.20000   111.31432
   2.30000     0.20000   111.34949
   2.40000     0.20000   111.33802
   2.50000     0.20000   111.33326
   2.60000     0.20000   111.31484
   2.70000     0.20000   111.31979
   2.80000     0.20000   111.32562
   2.90000     0.20000   111.33713
   3.00000     0.20000   111.32480
   3.10000     0.20000   111.33073
   3.20000     0.20000   111.35261
   3.30000     0.20000   111.31014
   3.40000     0.20000   111.31472
   3.50000     0.20000   111.32681
   3.60000     0.20000   111.28940
   3.70000     0.20000   111.32357
   3.80000     0.20000   111.29516
   3.90000     0.20000   111.33302
   4.00000     0.20000   111.34604
   4.10000     0.20000   111.30163
   4.20000     0.20000   111.30520
   4.30000     0.20000   111.30638
   4.40000     0.20000   111.30874
   4.50000     0.20000   111.33719
   4.60000     0.20000   111.32205
   4.70000     0.20000   111.33671
   4.80000     0.20000   111.35646
   4.90000     0.20000   111.30643
   5.00000     0.20000   111.32648
   0.10000     0.30000   111.30650
   0.20000     0.30000   111.31043
   0.30000     0.30000   111.27816
   0.40000     0.30000   111.28587
   0.50000     0.30000   111.33659
   0.60000     0.30000   111.31946
   0.70000     0.30000   111.29815
   0.80000     0.30000   111.31814
   0.90000     0.30000   111.28871
   1.00000     0.30000   111.32241
   1.10000     0.30000   111.35093
   1.20000     0.30000   111.33304
   1.30000     0.30000   111.29193
