#     r         beta        Ep   
   5.00000     0.40000    44.21858
   0.10000     0.50000    43.65980
   0.20000     0.50000    43.60360
   0.30000     0.50000    43.36247
   0.40000     0.50000    43.42078
   0.50000     0.50000    42.96710
   0.60000     0.50000    42.80554
   0.70000     0.50000    42.78444
   0.80000     0.50000    42.42298
   0.90000     0.50000    41.99714
   1.00000     0.50000    41.86877
   1.10000     0.50000    41.63876
   1.20000     0.50000    41.30590
   1.30000     0.50000    41.02323
   1.40000     0.50000    40.66109
   1.50000     0.50000    40.27289
   1.60000     0.50000    40.08753
   1.70000     0.50000    39.57511
   1.80000     0.50000    39.51578
   1.90000     0.50000    39.35528
   2.00000     0.50000    38.97704
   2.10000     0.50000    43.87555
   2.20000     0.50000    43.86784
   2.30000     0.50000    43.63706
   2.40000     0.50000    44.13191
   2.50000     0.50000    43.91485
   2.60000     0.50000    44.03040
   2.70000     0.50000    44.06013
   2.80000     0.50000    43.94016
   2.90000     0.50000    43.97212
   3.00000     0.50000    43.91679
   3.10000     0.50000    43.75970
   3.20000     0.50000    43.76890
   3.30000     0.50000    44.02202
   3.40000     0.50000    43.67759
   3.50000     0.50000    43.72247
   3.60000     0.50000    43.79335
   3.70000     0.50000    44.25845
   3.80000     0.50000    43.93103
   3.90000     0.50000    43.93495
   4.00000     0.50000    44.09439
   4.10000     0.50000    43.93617
   4.20000     0.50000    43.68832
   4.30000     0.50000    43.97345
   4.40000     0.50000    43.94778
   4.50000     0.50000    44.11818
   4.60000     0.50000    43.97465
   4.70000     0.50000    43.92678
   4.80000     0.50000    43.66799
   4.90000     0.50000    43.80019
   5.00000     0.50000    43.90730
   0.10000     0.60000    43.94863
   0.20000     0.60000    43.70031
   0.30000     0.60000    43.23934
   0.40000     0.60000    43.24553
   0.50000     0.60000    42.89797
   0.60000     0.60000    42.71990
   0.70000     0.60000    42.60200
   0.80000     0.60000    42.15453
   0.90000     0.60000    42.14613
   1.00000     0.60000    41.36310
   1.10000     0.60000    41.29044
   1.20000     0.60000    40.85128
   1.30000     0.60000    40.40115
   1.40000     0.60000    40.23479
   1.50000     0.60000    39.84920
   1.60000     0.60000    39.59728
   1.70000     0.60000    39.23110
   1.80000     0.60000    38.82902
   1.90000     0.60000    38.44228
