#     r         beta        Ep   
   0.10000     0.10000    96.78956
   0.20000     0.10000    96.68569
   0.30000     0.10000    96.64047
   0.40000     0.10000    96.35492
   0.50000     0.10000    96.45497
   0.60000     0.10000    96.38742
   0.70000     0.10000    96.65830
   0.80000     0.10000    96.84472
   0.90000     0.10000    96.59496
   1.00000     0.10000    96.61808
   1.10000     0.10000    97.05715
   1.20000     0.10000    96.85296
   1.30000     0.10000    96.49278
   1.40000     0.10000    96.56919
   1.50000     0.10000    96.73136
   1.60000     0.10000    96.64494
   1.70000     0.10000    96.75389
   1.80000     0.10000    96.49523
   1.90000     0.10000    96.29569
   2.00000     0.10000    96.28298
   2.10000     0.10000    96.41648
   2.20000     0.10000    96.54101
   2.30000     0.10000    96.64091
   2.40000     0.10000    96.48756
   2.50000     0.10000    97.11094
   2.60000     0.10000    96.76982
   2.70000     0.10000    96.67028
   2.80000     0.10000    96.71575
   2.90000     0.10000    96.73195
   3.00000     0.10000    97.58537
   3.10000     0.10000    96.73727
   3.20000     0.10000    96.61529
   3.30000     0.10000    96.75265
   3.40000     0.10000    96.32705
   3.50000     0.10000    96.54349
   3.60000     0.10000    96.61155
   3.70000     0.10000    96.97787
   3.80000     0.10000    96.81686
   3.90000     0.10000    96.62741
   4.00000     0.10000    96.55958
   4.10000     0.10000    96.73669
   4.20000     0.10000    96.82218
   4.30000     0.10000    96.75495
   4.40000     0.10000    96.85575
   4.50000     0.10000    96.50289
   4.60000     0.10000    96.45304
   4.70000     0.10000    96.62833
   4.80000     0.10000    96.85462
   4.90000     0.10000    96.60127
   5.00000     0.10000    96.62635
   0.10000     0.20000    96.58726
   0.20000     0.20000    96.27692
   0.30000     0.20000    95.96018
   0.40000     0.20000    95.90332
   0.50000     0.20000    96.19044
   0.60000     0.20000    96.31882
   0.70000     0.20000    96.45412
   0.80000     0.20000    96.23914
   0.90000     0.20000    96.50621
   1.00000     0.20000    96.29965
   1.10000     0.20000    96.19781
   1.20000     0.20000    96.41350
   1.30000     0.20000    96.17389
   1.40000     0.20000    96.37842
   1.50000     0.20000    96.13672
   1.60000     0.20000    96.33044
   1.70000     0.20000    96.89173
   1.80000     0.20000    96.58038
   1.90000     0.20000    97.26171
   2.00000     0.20000    96.74121
   2.10000     0.20000    96.25895
   2.20000     0.20000    96.95158
   2.30000     0.20000    97.15973
   2.40000     0.20000    96.56461
   2.50000     0.20000    96.64205
   2.60000     0.20000    95.74517
   2.70000     0.20000    96.24144
   2.80000     0.20000    96.65363
   2.90000     0.20000    96.38039
   3.00000     0.20000    96.96431
   3.10000     0.20000    96.48458
