# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,63.8944692499,0.567950837777,0.0471337233326,7.5,7.5,0.8500000000000001
1.0,3,59.5741484736,0.529547986432,0.0360778353367,7.5,7.5,0.8500000000000001
1.5,3,75.935544535,0.674982618089,0.0620230366263,7.5,7.5,0.8500000000000001
2.0,3,76.1749937148,0.677111055243,0.0641314371044,7.5,7.5,0.8500000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,63.0087101041,0.560077423148,0.0521351585489,7.5,7.5,0.9
1.0,3,58.4851861946,0.51986832173,0.0377576414518,7.5,7.5,0.9
1.5,3,74.9875765889,0.666556236346,0.063762126568,7.5,7.5,0.9
2.0,3,74.4810729472,0.662053981753,0.0634493482583,7.5,7.5,0.9
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,62.1072105131,0.55206409345,0.0515734594959,7.5,7.5,0.9500000000000001
1.0,3,57.6996855276,0.512886093579,0.0386648832774,7.5,7.5,0.9500000000000001
1.5,3,73.9260099986,0.657120088876,0.0682011622818,7.5,7.5,0.9500000000000001
2.0,3,73.7661050822,0.655698711842,0.067210197222,7.5,7.5,0.9500000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,61.2330166799,0.544293481599,0.0518495935132,7.5,7.5,1.0
1.0,3,56.6495200742,0.503551289549,0.038659751872,7.5,7.5,1.0
1.5,3,72.521664622,0.644637018862,0.0653930684292,7.5,7.5,1.0
2.0,3,72.7533006373,0.646696005665,0.0669224522354,7.5,7.5,1.0
