# bifParam=meanDeficit, maxAmp, minAmp, x1_last, x2_last, y_last
3.9000000000000004,0.0,0.0,0.18294673163,0.18294673163,0.302173600052
3.91,0.0,0.0,0.183058563198,0.183058563198,0.302498077353
3.92,0.0,0.0,0.183170005768,0.183170005768,0.302821758012
3.9299999999999997,0.0,0.0,0.183281061983,0.183281061983,0.303144646554
3.94,0.0,0.0,0.183391734462,0.183391734462,0.303466747468
3.95,0.0,0.0,0.183502025797,0.183502025797,0.303788065207
3.96,0.0,0.0,0.183611938557,0.183611938557,0.304108604187
3.9699999999999998,0.0,0.0,0.183721475285,0.183721475285,0.304428368791
3.98,0.0,0.0,0.183830638502,0.183830638502,0.304747363365
3.99,0.0,0.0,0.183939430703,0.183939430703,0.305065592221
4.0,0.0,0.0,0.184047854362,0.184047854362,0.305383059638
4.01,0.0,0.0,0.184155911927,0.184155911927,0.305699769859
4.02,0.0,0.0,0.184263605825,0.184263605825,0.306015727094
4.03,0.0,0.0,0.18437093846,0.18437093846,0.306330935522
4.04,0.0,0.0,0.184477912213,0.184477912213,0.306645399285
4.05,0.0,0.0,0.184584529444,0.184584529444,0.306959122498
4.0600000000000005,0.0,0.0,0.18469079249,0.18469079249,0.307272109238
4.07,0.0,0.0,0.184796703666,0.184796703666,0.307584363555
4.08,0.0,0.0,0.184902265268,0.184902265268,0.307895889463
4.09,0.0,0.0,0.185007479568,0.185007479568,0.308206690949
4.1,0.0,0.0,0.18511234882,0.18511234882,0.308516771967
4.11,0.0,0.0,0.185216875255,0.185216875255,0.308826136439
4.12,0.0,0.0,0.185321061084,0.185321061084,0.30913478826
4.13,0.0,0.0,0.1854249085,0.1854249085,0.309442731292
4.140000000000001,0.0,0.0,0.185528419674,0.185528419674,0.30974996937
4.15,0.0,0.0,0.185631596757,0.185631596757,0.310056506297
4.16,0.0,0.0,0.185734441883,0.185734441883,0.310362345848
4.17,0.0,0.0,0.185836957165,0.185836957165,0.310667491769
4.18,0.0,0.0,0.185939144696,0.185939144696,0.310971947779
4.1899999999999995,0.0,0.0,0.186041006554,0.186041006554,0.311275717567
4.2,0.0,0.0,0.186142544794,0.186142544794,0.311578804793
4.21,0.0,0.0,0.186243761456,0.186243761456,0.311881213093
4.22,0.0,0.0,0.186344658559,0.186344658559,0.312182946072
4.23,0.0,0.0,0.186445238108,0.186445238108,0.312484007309
4.24,0.0,0.0,0.186545502087,0.186545502087,0.312784400356
4.25,0.0,0.0,0.186645452463,0.186645452463,0.31308412874
4.26,0.0,0.0,0.186745091186,0.186745091186,0.31338319596
4.27,0.0,0.0,0.18684442019,0.18684442019,0.313681605488
4.28,0.0,0.0,0.186943441391,0.186943441391,0.313979360772
4.29,0.0,0.0,0.187042156688,0.187042156688,0.314276465234
4.3,0.0,0.0,0.187140567964,0.187140567964,0.314572922269
4.3100000000000005,0.0,0.0,0.187238677086,0.187238677086,0.31486873525
4.32,0.0,0.0,0.187336485904,0.187336485904,0.315163907522
4.33,0.0,0.0,0.187433996252,0.187433996252,0.315458442407
4.34,0.0,0.0,0.18753120995,0.18753120995,0.315752343202
4.35,0.0,0.0,0.187628128799,0.187628128799,0.316045613181
4.36,0.0,0.0,0.187724754588,0.187724754588,0.316338255592
4.37,0.0,0.0,0.187821089088,0.187821089088,0.316630273661
4.38,0.0,0.0,0.187917134057,0.187917134057,0.31692167059
4.390000000000001,0.0,0.0,0.188012891236,0.188012891236,0.317212449557
4.4,0.0,0.0,0.188108362353,0.188108362353,0.317502613719
4.41,0.0,0.0,0.188203549121,0.188203549121,0.317792166208
4.42,0.0,0.0,0.188298453238,0.188298453238,0.318081110133
4.43,0.0,0.0,0.188393076387,0.188393076387,0.318369448584
4.4399999999999995,0.0,0.0,0.188487420238,0.188487420238,0.318657184625
4.45,0.0,0.0,0.188581486448,0.188581486448,0.3189443213
4.46,0.0,0.0,0.188675276657,0.188675276657,0.319230861632
4.47,0.0,0.0,0.188768792494,0.188768792494,0.319516808619
4.48,0.0,0.0,0.188862035574,0.188862035574,0.319802165242
4.49,0.0,0.0,0.188955007497,0.188955007497,0.320086934458
4.5,0.0,0.0,0.189047709852,0.189047709852,0.320371119203
4.51,0.0,0.0,0.189140144213,0.189140144213,0.320654722394
4.52,0.0,0.0,0.189232312142,0.189232312142,0.320937746926
4.53,0.0,0.0,0.189324215188,0.189324215188,0.321220195675
4.54,0.0,0.0,0.189415854887,0.189415854887,0.321502071494
4.55,0.0,0.0,0.189507232763,0.189507232763,0.321783377218
4.5600000000000005,0.0,0.0,0.189598350327,0.189598350327,0.322064115663
4.57,0.0,0.0,0.189689209077,0.189689209077,0.322344289624
