#     r         beta        Ep   
   5.00000     0.40000   186.13277
   0.10000     0.50000   185.46407
   0.20000     0.50000   185.28375
   0.30000     0.50000   185.14832
   0.40000     0.50000   185.18037
   0.50000     0.50000   185.81299
   0.60000     0.50000   186.03808
   0.70000     0.50000   185.93953
   0.80000     0.50000   185.88202
   0.90000     0.50000   185.75465
   1.00000     0.50000   186.74620
   1.10000     0.50000   186.13279
   1.20000     0.50000   186.14588
   1.30000     0.50000   186.57056
   1.40000     0.50000   186.26694
   1.50000     0.50000   186.13058
   1.60000     0.50000   186.46964
   1.70000     0.50000   186.34577
   1.80000     0.50000   185.86962
   1.90000     0.50000   186.45661
   2.00000     0.50000   186.05411
   2.10000     0.50000   187.03153
   2.20000     0.50000   185.81393
   2.30000     0.50000   185.78599
   2.40000     0.50000   185.83683
   2.50000     0.50000   186.01716
   2.60000     0.50000   186.13950
   2.70000     0.50000   186.18851
   2.80000     0.50000   186.41197
   2.90000     0.50000   186.06697
   3.00000     0.50000   186.20997
   3.10000     0.50000   186.24956
   3.20000     0.50000   186.20204
   3.30000     0.50000   185.94703
   3.40000     0.50000   185.92944
   3.50000     0.50000   185.64615
   3.60000     0.50000   185.77845
   3.70000     0.50000   186.02178
   3.80000     0.50000   186.61489
   3.90000     0.50000   186.28290
   4.00000     0.50000   186.34210
   4.10000     0.50000   186.02682
   4.20000     0.50000   186.01105
   4.30000     0.50000   186.06333
   4.40000     0.50000   185.73934
   4.50000     0.50000   186.37349
   4.60000     0.50000   185.99742
   4.70000     0.50000   186.49519
   4.80000     0.50000   186.32737
   4.90000     0.50000   186.17675
   5.00000     0.50000   186.13283
   0.10000     0.60000   185.04956
   0.20000     0.60000   183.21780
   0.30000     0.60000   183.25784
   0.40000     0.60000   183.71993
   0.50000     0.60000   184.34908
   0.60000     0.60000   185.59760
   0.70000     0.60000   185.87516
   0.80000     0.60000   186.54472
   0.90000     0.60000   185.95191
   1.00000     0.60000   186.28672
   1.10000     0.60000   186.17756
   1.20000     0.60000   186.24030
   1.30000     0.60000   186.17253
   1.40000     0.60000   186.85623
   1.50000     0.60000   186.63228
   1.60000     0.60000   186.62683
   1.70000     0.60000   187.00049
   1.80000     0.60000   185.54026
   1.90000     0.60000   186.39534
   2.00000     0.60000   186.02149
   2.10000     0.60000   185.92504
   2.20000     0.60000   185.83322
   2.30000     0.60000   186.14228
   2.40000     0.60000   186.81410
   2.50000     0.60000   186.40831
