#     r         beta        Ep   
   5.00000     0.40000   110.54229
   0.10000     0.50000   110.59434
   0.20000     0.50000   110.33144
   0.30000     0.50000   110.19014
   0.40000     0.50000   109.64581
   0.50000     0.50000   109.44900
   0.60000     0.50000   107.11043
   0.70000     0.50000   109.14128
   0.80000     0.50000   109.98823
   0.90000     0.50000   110.36348
   1.00000     0.50000   110.45721
   1.10000     0.50000   110.46177
   1.20000     0.50000   110.44572
   1.30000     0.50000   110.56127
   1.40000     0.50000   110.56639
   1.50000     0.50000   110.44655
   1.60000     0.50000   110.53995
   1.70000     0.50000   110.42230
   1.80000     0.50000   110.56139
   1.90000     0.50000   110.71258
   2.00000     0.50000   110.56849
   2.10000     0.50000   110.82786
   2.20000     0.50000   110.42054
   2.30000     0.50000   110.55703
   2.40000     0.50000   110.48416
   2.50000     0.50000   110.60122
   2.60000     0.50000   110.56805
   2.70000     0.50000   110.62336
   2.80000     0.50000   110.46306
   2.90000     0.50000   110.52190
   3.00000     0.50000   110.67274
   3.10000     0.50000   110.54921
   3.20000     0.50000   110.53297
   3.30000     0.50000   110.68687
   3.40000     0.50000   110.68205
   3.50000     0.50000   110.38207
   3.60000     0.50000   110.57222
   3.70000     0.50000   110.62641
   3.80000     0.50000   110.50395
   3.90000     0.50000   110.57460
   4.00000     0.50000   110.50584
   4.10000     0.50000   110.69867
   4.20000     0.50000   110.55593
   4.30000     0.50000   110.46667
   4.40000     0.50000   110.57594
   4.50000     0.50000   110.66881
   4.60000     0.50000   110.53278
   4.70000     0.50000   110.42153
   4.80000     0.50000   110.64072
   4.90000     0.50000   110.74412
   5.00000     0.50000   110.71958
   0.10000     0.60000   110.48038
   0.20000     0.60000   110.31568
   0.30000     0.60000   110.39351
   0.40000     0.60000   110.25673
   0.50000     0.60000   109.83603
   0.60000     0.60000   109.96704
   0.70000     0.60000   109.55550
   0.80000     0.60000   108.98681
   0.90000     0.60000   110.22383
   1.00000     0.60000   110.37103
   1.10000     0.60000   110.40660
   1.20000     0.60000   110.52334
   1.30000     0.60000   110.52938
   1.40000     0.60000   110.58621
   1.50000     0.60000   110.69785
   1.60000     0.60000   110.57549
   1.70000     0.60000   110.58691
   1.80000     0.60000   110.55362
   1.90000     0.60000   110.61267
   2.00000     0.60000   110.69239
   2.10000     0.60000   110.57353
   2.20000     0.60000   110.51071
   2.30000     0.60000   110.50858
   2.40000     0.60000   110.58365
   2.50000     0.60000   110.60993
   2.60000     0.60000   110.47645
   2.70000     0.60000   110.64330
   2.80000     0.60000   110.47163
   2.90000     0.60000   110.55081
   3.00000     0.60000   110.60203
   3.10000     0.60000   110.78305
   3.20000     0.60000   110.50806
   3.30000     0.60000   110.55011
   3.40000     0.60000   110.54246
   3.50000     0.60000   110.69456
   3.60000     0.60000   110.52072
   3.70000     0.60000   110.49097
   3.80000     0.60000   110.60744
   3.90000     0.60000   110.42384
   4.00000     0.60000   110.51599
   4.10000     0.60000   110.58067
   4.20000     0.60000   110.67331
   4.30000     0.60000   110.62681
   4.40000     0.60000   110.79144
   4.50000     0.60000   110.49797
   4.60000     0.60000   110.69803
   4.70000     0.60000   110.67590
   4.80000     0.60000   110.61203
   4.90000     0.60000   110.55955
   5.00000     0.60000   110.64060
   0.10000     0.70000   110.41612
   0.20000     0.70000   110.33693
   0.30000     0.70000   110.24777
   0.40000     0.70000   110.43929
   0.50000     0.70000   109.96778
   0.60000     0.70000   109.91566
   0.70000     0.70000   109.53330
   0.80000     0.70000   109.33013
   0.90000     0.70000   108.86064
   1.00000     0.70000   108.70939
   1.10000     0.70000   110.28084
   1.20000     0.70000   110.48556
   1.30000     0.70000   110.61465
   1.40000     0.70000   110.47328
   1.50000     0.70000   110.47225
   1.60000     0.70000   110.49413
   1.70000     0.70000   110.61080
   1.80000     0.70000   110.42479
   1.90000     0.70000   110.61416
   2.00000     0.70000   110.55479
   2.10000     0.70000   110.67871
   2.20000     0.70000   110.59979
   2.30000     0.70000   110.48277
   2.40000     0.70000   110.63525
   2.50000     0.70000   110.57855
   2.60000     0.70000   110.52444
   2.70000     0.70000   110.65807
   2.80000     0.70000   110.44814
   2.90000     0.70000   110.72511
   3.00000     0.70000   110.56261
   3.10000     0.70000   110.57366
   3.20000     0.70000   110.70210
   3.30000     0.70000   110.56957
   3.40000     0.70000   110.58199
   3.50000     0.70000   110.55546
   3.60000     0.70000   110.58012
   3.70000     0.70000   110.56217
   3.80000     0.70000   110.56562
   3.90000     0.70000   110.47227
   4.00000     0.70000   110.62739
   4.10000     0.70000   110.46837
   4.20000     0.70000   110.64246
   4.30000     0.70000   110.52942
   4.40000     0.70000   110.55573
   4.50000     0.70000   110.64927
   4.60000     0.70000   110.45864
   4.70000     0.70000   110.62708
   4.80000     0.70000   110.66024
   4.90000     0.70000   110.54001
   5.00000     0.70000   110.78887
   0.10000     0.80000   110.44098
   0.20000     0.80000   110.27267
   0.30000     0.80000   110.33020
   0.40000     0.80000   109.92729
   0.50000     0.80000   109.98827
   0.60000     0.80000   109.58901
   0.70000     0.80000   109.46873
   0.80000     0.80000   109.04061
   0.90000     0.80000   108.82564
   1.00000     0.80000   108.03628
   1.10000     0.80000   107.62862
   1.20000     0.80000   110.48403
   1.30000     0.80000   110.78031
   1.40000     0.80000   110.60488
   1.50000     0.80000   110.56911
   1.60000     0.80000   110.45485
   1.70000     0.80000   110.53449
   1.80000     0.80000   110.46668
   1.90000     0.80000   110.65295
   2.00000     0.80000   110.65784
   2.10000     0.80000   110.46515
   2.20000     0.80000   110.68766
