# bifParam, maxAmp, minAmp, x1_last, x2_last, y_last
0.0,0.0,0.0,0.9375,0.9375,7.4067626186
0.01,0.0,0.0,0.93734436534,0.93734436534,7.40661920407
0.02,0.0,0.0,0.937188250427,0.937188250427,7.40647512818
0.03,0.0,0.0,0.937031651927,0.937031651927,7.4063303855
0.04,0.0,0.0,0.93687456647,0.93687456647,7.40618497052
0.05,0.0,0.0,0.936716990647,0.936716990647,7.40603887767
0.06,0.0,0.0,0.936558921013,0.936558921013,7.40589210133
0.07,0.0,0.0,0.936400354084,0.936400354084,7.4057446358
0.08,0.0,0.0,0.936241286337,0.936241286337,7.4055964753
0.09,0.0,0.0,0.93608171421,0.93608171421,7.40544761398
0.1,0.0,0.0,0.935921634099,0.935921634099,7.40529804594
0.11,0.0,0.0,0.935761042362,0.935761042362,7.40514776519
0.12,0.0,0.0,0.935599935313,0.935599935313,7.40499676565
0.13,0.0,0.0,0.935438309226,0.935438309226,7.4048450412
0.14,0.0,0.0,0.935276160331,0.935276160331,7.40469258562
0.15,0.0,0.0,0.935113484815,0.935113484815,7.4045393926
0.16,0.0,0.0,0.934950278821,0.934950278821,7.40438545579
0.17,0.0,0.0,0.934786538447,0.934786538447,7.40423076871
0.18,0.0,0.0,0.934622259745,0.934622259745,7.40407532484
0.19,0.0,0.0,0.934457438722,0.934457438722,7.40391911755
0.2,0.0,0.0,0.934292071338,0.934292071338,7.40376214013
0.21,0.0,0.0,0.934126153503,0.934126153503,7.4036043858
0.22,0.0,0.0,0.933959681081,0.933959681081,7.40344584766
0.23,0.0,0.0,0.933792649885,0.933792649885,7.40328651875
0.24,0.0,0.0,0.93362505568,0.93362505568,7.403126392
0.25,0.0,0.0,0.933456894177,0.933456894177,7.40296546025
0.26,0.0,0.0,0.933288161038,0.933288161038,7.40280371626
0.27,0.0,0.0,0.93311885187,0.93311885187,7.40264115267
0.28,0.0,0.0,0.932948962229,0.932948962229,7.40247776205
0.29,0.0,0.0,0.932778487614,0.932778487614,7.40231353684
0.3,0.0,0.0,0.93260742347,0.93260742347,7.4021484694
0.31,0.0,0.0,0.932435765185,0.932435765185,7.40198255198
0.32,0.0,0.0,0.932263508092,0.932263508092,7.40181577672
0.33,0.0,0.0,0.932090647461,0.932090647461,7.40164813566
0.34,0.0,0.0,0.931917178508,0.931917178508,7.40147962073
0.35000000000000003,0.0,0.0,0.931743096386,0.931743096386,7.40131022376
0.36,0.0,0.0,0.931568396186,0.931568396186,7.40113993643
0.37,0.0,0.0,0.931393072938,0.931393072938,7.40096875034
0.38,0.0,0.0,0.931217121608,0.931217121608,7.40079665697
0.39,0.0,0.0,0.931040537098,0.931040537098,7.40062364766
0.4,0.0,0.0,0.930863314243,0.930863314243,7.40044971364
0.41000000000000003,0.0,0.0,0.930685447812,0.930685447812,7.40027484603
0.42,0.0,0.0,0.930506932506,0.930506932506,7.4000990358
0.43,0.0,0.0,0.930327762956,0.930327762956,7.3999222738
0.44,0.0,0.0,0.930147933722,0.930147933722,7.39974455076
0.45,0.0,0.0,0.929967439294,0.929967439294,7.39956585726
0.46,0.0,0.0,0.929786274087,0.929786274087,7.39938618375
0.47000000000000003,0.0,0.0,0.929604432442,0.929604432442,7.39920552054
0.48,0.0,0.0,0.929421908624,0.929421908624,7.39902385779
0.49,0.0,0.0,0.92923869682,0.92923869682,7.39884118555
0.5,0.0,0.0,0.92905479114,0.92905479114,7.39865749368
0.51,0.0,0.0,0.928870185612,0.928870185612,7.39847277191
0.52,0.0,0.0,0.928684874183,0.928684874183,7.39828700981
0.53,0.0,0.0,0.928498850718,0.928498850718,7.3981001968
0.54,0.0,0.0,0.928312108993,0.928312108993,7.39791232215
0.55,0.0,0.0,0.928124642703,0.928124642703,7.39772337494
0.56,0.0,0.0,0.92793644545,0.92793644545,7.39753334411
0.5700000000000001,0.0,0.0,0.92774751075,0.92774751075,7.39734221842
0.58,0.0,0.0,0.927557832024,0.927557832024,7.39714998645
0.59,0.0,0.0,0.301581985514,0.301581985514,0.906554527021
0.6,0.0,0.0,0.294393377802,0.294393377802,0.850806426796
0.61,0.0,0.0,0.289407427236,0.289407427236,0.813916534213
0.62,0.0,0.0,0.285565508326,0.285565508326,0.786456396933
0.63,0.0,0.0,0.282428050673,0.282428050673,0.764641312547
0.64,0.0,0.0,0.279769359387,0.279769359387,0.746576731518
0.65,0.0,0.0,0.277457889664,0.277457889664,0.731180845662
0.66,0.0,0.0,0.275410139981,0.275410139981,0.71777873128
0.67,0.0,0.0,0.273569731845,0.273569731845,0.70592148715
0.68,0.0,0.0,0.271896775471,0.271896775471,0.695295695461
0.6900000000000001,0.0,0.0,0.270361990129,0.270361990129,0.685674027992
0.7000000000000001,0.0,0.0,0.268943235054,0.268943235054,0.67688644746
0.71,0.0,0.0,0.267623353669,0.267623353669,0.668802502138
0.72,0.0,0.0,0.266388775858,0.266388775858,0.661319958053
0.73,0.0,0.0,0.265228579098,0.265228579098,0.654357231372
0.74,0.0,0.0,0.264133838587,0.264133838587,0.647848193808
0.75,0.0,0.0,0.263097165709,0.263097165709,0.641738511849
0.76,0.0,0.0,0.262112372809,0.262112372809,0.635983007287
0.77,0.0,0.0,0.261174224924,0.261174224924,0.630543715625
0.78,0.0,0.0,0.260278252674,0.260278252674,0.625388432335
0.79,0.0,0.0,0.259420609069,0.259420609069,0.620489607095
0.8,0.0,0.0,0.258597958394,0.258597958394,0.61582349073
0.81,0.0,0.0,0.257807388902,0.257807388902,0.61136946869
0.8200000000000001,0.0,0.0,0.257046343442,0.257046343442,0.607109534216
0.8300000000000001,0.0,0.0,0.256312563757,0.256312563757,0.603027867526
0.84,0.0,0.0,0.255604045344,0.255604045344,0.599110496436
0.85,0.0,0.0,0.254919000558,0.254919000558,0.595345020244
0.86,0.0,0.0,0.254255828201,0.254255828201,0.59172038324
0.87,0.0,0.0,0.25361308829,0.25361308829,0.58822668753
0.88,0.0,0.0,0.252989480958,0.252989480958,0.584855037267
0.89,0.0,0.0,0.252383828723,0.252383828723,0.581597408186
0.9,0.0,0.0,0.25179506147,0.25179506147,0.578446537655
0.91,0.0,0.0,0.251222203695,0.251222203695,0.575395831512
0.92,0.0,0.0,0.250664363579,0.250664363579,0.572439284698
0.93,0.0,0.0,0.250120723613,0.250120723613,0.569571413306
0.9400000000000001,0.0,0.0,0.249590532501,0.249590532501,0.566787196137
0.9500000000000001,0.0,0.0,0.24907309814,0.24907309814,0.564082024213
0.96,0.0,0.0,0.248567781512,0.248567781512,0.561451656983
0.97,0.0,0.0,0.248073991348,0.248073991348,0.558892184177
0.98,0.0,0.0,0.247591179444,0.247591179444,0.556399992474
0.99,0.0,0.0,0.247118836549,0.247118836549,0.553971736255
1.0,0.0,0.0,0.246656488724,0.246656488724,0.551604311872
1.01,0.0,0.0,0.246203694128,0.246203694128,0.549294834927
1.02,0.0,0.0,0.245760040156,0.245760040156,0.547040620149
1.03,0.0,0.0,0.245325140893,0.245325140893,0.544839163532
1.04,0.0,0.0,0.244898634845,0.244898634845,0.542688126422
1.05,0.0,0.0,0.244480182898,0.244480182898,0.540585321311
1.06,0.0,0.0,0.244069466496,0.244069466496,0.538528699128
1.07,0.0,0.0,0.243666185993,0.243666185993,0.536516337823
1.08,0.0,0.0,0.243270059178,0.243270059178,0.534546432119
1.09,0.0,0.0,0.242880819929,0.242880819929,0.532617284259
1.1,0.0,0.0,0.24249821701,0.24249821701,0.530727295662
1.11,0.0,0.0,0.242122012963,0.242122012963,0.528874959368
1.12,0.0,0.0,0.241751983114,0.241751983114,0.527058853183
1.1300000000000001,0.0,0.0,0.241387914663,0.241387914663,0.525277633461
1.1400000000000001,0.0,0.0,0.241029605853,0.241029605853,0.523530029437
1.1500000000000001,0.0,0.0,0.240676865212,0.240676865212,0.521814838069
1.16,0.0,0.0,0.240329510857,0.240329510857,0.520130919318
1.17,0.0,0.0,0.239987369864,0.239987369864,0.518477191838
1.18,0.0,0.0,0.239650277677,0.239650277677,0.516852629032
1.19,0.0,0.0,0.239318077576,0.239318077576,0.515256255419
1.2,0.0,0.0,0.23899062018,0.23899062018,0.513687143313
1.21,0.0,0.0,0.238667762993,0.238667762993,0.512144409755
