# bifParam, maxAmp, minAmp, x1_last, x2_last, y_last
2.3000000000000003,0.242478506875,0.128220544334,0.314122174657,0.0752926377912,0.517698707218
2.31,0.242177545838,0.126890631623,0.365196737072,0.154154444398,0.488482072051
2.32,0.241870833451,0.125575662993,0.362546128701,0.191572456691,0.427711794923
2.33,0.241557539196,0.124275055318,0.323117899561,0.181604157046,0.375283298447
2.34,0.241237810679,0.122989523072,0.272156492467,0.14574843237,0.34827497512
2.35,0.240912174599,0.121718280228,0.222218663863,0.100487639552,0.344975062292
2.36,0.240580623513,0.12046190536,0.179808493616,0.0563697721352,0.358379976095
2.37,0.240242333503,0.119219583099,0.149659786344,0.0208094766628,0.382632958848
2.38,0.239898785004,0.117990550155,0.137705203848,0.00157831882997,0.413337120108
2.39,0.239547243919,0.116775018061,0.150557582496,0.0,0.448917580258
2.4,0.239191947143,0.115572773182,0.194321530481,0.0,0.485068881806
2.41,0.238831727201,0.114382707722,0.264648695208,0.0258191992729,0.512846130568
2.42,0.238465432733,0.113205540845,0.336632744262,0.109353041905,0.513281517252
2.43,0.238093017057,0.112040871968,0.372652618238,0.17974058614,0.473306427108
2.44,0.237714828103,0.11088878465,0.360476635929,0.205977148303,0.413893336839
2.45,0.237327423986,0.109750482675,0.319558603863,0.192310616071,0.364811366825
2.46,0.236940918096,0.10862102378,0.270294317467,0.157352740612,0.338950839056
2.47,0.236544845474,0.107505083888,0.222636359354,0.115023682747,0.333831723039
2.48,0.236142070316,0.10640093236,0.180538704601,0.0728405486315,0.343278999115
2.49,0.235732907891,0.10530838788,0.147079293988,0.0360746490105,0.362460459287
2.5,0.235317528469,0.10422717801,0.126157466069,0.00996450301791,0.38807905115
2.5100000000000002,0.234895646633,0.103157274572,0.12230962628,0.0,0.417858946788
2.52,0.23447257602,0.10209626886,0.140013994651,0.0,0.449764190255
2.5300000000000002,0.234041433425,0.101046372182,0.183293144588,0.0,0.482104136058
2.54,0.233602742765,0.100007418718,0.249178971781,0.015704905361,0.508566392699
2.5500000000000003,0.233160559145,0.0989777902223,0.320697770741,0.0947324716805,0.515556309448
2.56,0.232710534629,0.0979591117194,0.367741225487,0.16971906796,0.489507410447
2.57,0.232254255578,0.0969505145844,0.373028653685,0.213030856083,0.437373958663
2.58,0.231792300373,0.0959516592041,0.345828272652,0.217180547785,0.384499181173
2.59,0.231323708816,0.094962836847,0.305166561265,0.196295607144,0.347314865142
2.6,0.230845176005,0.0939843537685,0.262723021021,0.164434681143,0.328205730032
2.61,0.230365846944,0.0930140029703,0.222913501739,0.129391148132,0.323134372114
2.62,0.229876512695,0.0920537756515,0.18593051501,0.0936537286182,0.32804259218
