#     r         beta        Ep   
   2.50000     0.05000   103.17356
   0.02500     0.07500   102.49304
   0.05000     0.07500   102.38534
   0.07500     0.07500   102.46295
   0.10000     0.07500   102.15351
   0.12500     0.07500   102.90473
   0.15000     0.07500   102.66027
   0.17500     0.07500   103.19885
   0.20000     0.07500   102.83479
   0.22500     0.07500   102.62096
   0.25000     0.07500   102.71740
   0.27500     0.07500   102.92321
   0.30000     0.07500   103.07738
   0.32500     0.07500   102.02020
   0.35000     0.07500   102.63843
   0.37500     0.07500   102.41240
   0.40000     0.07500   102.72231
   0.42500     0.07500   102.60260
   0.45000     0.07500   102.68926
   0.47500     0.07500   102.48929
   0.50000     0.07500   102.34807
   0.52500     0.07500   102.83676
   0.55000     0.07500   102.54381
   0.57500     0.07500   102.67447
   0.60000     0.07500   102.58414
   0.62500     0.07500   101.98274
   0.65000     0.07500   102.68948
   0.67500     0.07500   102.54540
   0.70000     0.07500   102.66601
   0.72500     0.07500   102.38504
   0.75000     0.07500   102.83888
   0.77500     0.07500   102.49185
   0.80000     0.07500   102.53505
   0.82500     0.07500   102.60309
   0.85000     0.07500   102.77478
   0.87500     0.07500   102.11770
   0.90000     0.07500   102.63278
   0.92500     0.07500   102.29353
   0.95000     0.07500   102.75388
   0.97500     0.07500   102.80849
   1.00000     0.07500   102.76746
   1.02500     0.07500   102.58187
   1.05000     0.07500   102.21153
   1.07500     0.07500   102.43151
   1.10000     0.07500   102.61731
   1.12500     0.07500   102.66538
   1.15000     0.07500   102.43621
   1.17500     0.07500   102.84443
   1.20000     0.07500   102.59754
   1.22500     0.07500   102.32084
   1.25000     0.07500   102.53702
   1.27500     0.07500   102.71506
   1.30000     0.07500   102.31476
   1.32500     0.07500   102.20236
   1.35000     0.07500   102.48151
   1.37500     0.07500   102.08304
   1.40000     0.07500   102.44135
   1.42500     0.07500   102.59480
   1.45000     0.07500   102.70454
   1.47500     0.07500   102.75892
   1.50000     0.07500   102.41572
   1.52500     0.07500   102.40562
   1.55000     0.07500   102.69607
   1.57500     0.07500   102.71403
   1.60000     0.07500   102.36820
   1.62500     0.07500   102.73760
   1.65000     0.07500   102.77959
   1.67500     0.07500   102.48791
   1.70000     0.07500   102.36682
   1.72500     0.07500   102.18618
   1.75000     0.07500   102.88344
   1.77500     0.07500   102.68827
   1.80000     0.07500   102.80613
   1.82500     0.07500   103.11389
   1.85000     0.07500   102.58306
   1.87500     0.07500   102.78502
   1.90000     0.07500   102.75212
   1.92500     0.07500   102.45688
   1.95000     0.07500   103.21598
   1.97500     0.07500   102.53005
   2.00000     0.07500   102.57105
   2.02500     0.07500   102.50368
   2.05000     0.07500   102.45642
   2.07500     0.07500   101.99364
   2.10000     0.07500   101.93398
   2.12500     0.07500   102.18025
   2.15000     0.07500   102.43964
   2.17500     0.07500   102.40322
   2.20000     0.07500   102.39391
   2.22500     0.07500   102.56312
   2.25000     0.07500   102.79551
   2.27500     0.07500   102.74542
   2.30000     0.07500   102.57415
   2.32500     0.07500   102.61331
   2.35000     0.07500   102.51749
   2.37500     0.07500   102.76906
   2.40000     0.07500   102.98113
   2.42500     0.07500   102.47747
   2.45000     0.07500   102.89257
   2.47500     0.07500   102.91008
   2.50000     0.07500   102.67536
   0.02500     0.10000   102.32702
   0.05000     0.10000   102.32731
   0.07500     0.10000   103.08703
   0.10000     0.10000   102.67041
   0.12500     0.10000   102.83291
   0.15000     0.10000   102.78778
   0.17500     0.10000   101.88953
   0.20000     0.10000   102.37581
   0.22500     0.10000   102.91433
   0.25000     0.10000   102.66310
   0.27500     0.10000   102.39693
   0.30000     0.10000   102.49881
   0.32500     0.10000   102.52215
   0.35000     0.10000   102.57033
   0.37500     0.10000   102.52582
   0.40000     0.10000   102.56435
   0.42500     0.10000   102.17414
   0.45000     0.10000   102.22838
   0.47500     0.10000   102.63099
   0.50000     0.10000   102.14943
   0.52500     0.10000   102.72035
   0.55000     0.10000   102.16578
   0.57500     0.10000   102.79514
   0.60000     0.10000   102.81717
   0.62500     0.10000   102.35029
   0.65000     0.10000   102.42605
   0.67500     0.10000   102.78898
   0.70000     0.10000   102.73151
   0.72500     0.10000   102.24692
   0.75000     0.10000   102.82194
   0.77500     0.10000   102.21766
   0.80000     0.10000   102.52540
   0.82500     0.10000   102.42712
   0.85000     0.10000   102.83891
   0.87500     0.10000   102.18695
   0.90000     0.10000   102.56083
   0.92500     0.10000   102.22512
   0.95000     0.10000   102.45175
   0.97500     0.10000   102.22702
   1.00000     0.10000   102.41835
   1.02500     0.10000   102.70021
   1.05000     0.10000   102.56297
   1.07500     0.10000   103.03682
   1.10000     0.10000   102.41894
   1.12500     0.10000   102.30253
   1.15000     0.10000   102.13890
   1.17500     0.10000   102.50372
   1.20000     0.10000   101.69327
   1.22500     0.10000   102.84932
   1.25000     0.10000   102.69307
   1.27500     0.10000   102.80448
   1.30000     0.10000   102.83342
   1.32500     0.10000   102.59494
   1.35000     0.10000   102.50989
   1.37500     0.10000   102.42609
   1.40000     0.10000   102.25341
   1.42500     0.10000   102.51503
   1.45000     0.10000   102.15050
   1.47500     0.10000   102.59742
   1.50000     0.10000   102.34673
   1.52500     0.10000   102.28673
   1.55000     0.10000   102.49280
   1.57500     0.10000   102.94652
   1.60000     0.10000   102.84259
   1.62500     0.10000   102.62206
   1.65000     0.10000   102.39662
   1.67500     0.10000   102.46086
   1.70000     0.10000   102.49724
   1.72500     0.10000   102.22932
   1.75000     0.10000   102.92334
   1.77500     0.10000   103.01380
   1.80000     0.10000   102.51477
   1.82500     0.10000   103.01386
   1.85000     0.10000   103.05376
   1.87500     0.10000   103.10422
   1.90000     0.10000   102.38139
   1.92500     0.10000   102.69335
   1.95000     0.10000   102.60481
   1.97500     0.10000   102.27529
   2.00000     0.10000   102.75606
   2.02500     0.10000   102.67020
   2.05000     0.10000   102.88577
   2.07500     0.10000   103.13788
   2.10000     0.10000   102.67507
   2.12500     0.10000   102.36371
   2.15000     0.10000   102.24756
   2.17500     0.10000   102.84829
   2.20000     0.10000   102.89912
   2.22500     0.10000   102.18922
   2.25000     0.10000   102.73012
   2.27500     0.10000   102.17913
   2.30000     0.10000   102.86664
   2.32500     0.10000   102.32808
   2.35000     0.10000   102.88584
   2.37500     0.10000   102.62640
   2.40000     0.10000   102.30430
   2.42500     0.10000   102.85135
   2.45000     0.10000   102.81428
   2.47500     0.10000   102.69791
   2.50000     0.10000   102.34212
   0.02500     0.12500   102.40827
   0.05000     0.12500   102.86043
   0.07500     0.12500   102.55007
   0.10000     0.12500   102.44886
   0.12500     0.12500   102.59375
   0.15000     0.12500   102.30972
   0.17500     0.12500   102.33105
   0.20000     0.12500   102.49255
   0.22500     0.12500   102.47252
   0.25000     0.12500   102.23960
   0.27500     0.12500   102.30653
   0.30000     0.12500   102.46811
   0.32500     0.12500   102.02597
   0.35000     0.12500   102.92615
   0.37500     0.12500   102.59046
   0.40000     0.12500   102.50643
   0.42500     0.12500   102.48822
   0.45000     0.12500   102.59303
   0.47500     0.12500   102.23488
   0.50000     0.12500   102.62796
   0.52500     0.12500   102.62796
   0.55000     0.12500   102.71818
   0.57500     0.12500   102.05908
   0.60000     0.12500   102.08742
   0.62500     0.12500   102.37998
   0.65000     0.12500   102.52984
   0.67500     0.12500   102.39571
   0.70000     0.12500   102.39257
   0.72500     0.12500   103.05114
   0.75000     0.12500   101.96993
   0.77500     0.12500   102.16858
   0.80000     0.12500   102.08775
   0.82500     0.12500   102.28349
   0.85000     0.12500   102.42082
   0.87500     0.12500   103.04502
   0.90000     0.12500   102.47921
   0.92500     0.12500   102.41263
   0.95000     0.12500   102.51353
   0.97500     0.12500   102.37429
   1.00000     0.12500   102.70506
   1.02500     0.12500   102.46035
   1.05000     0.12500   102.35550
   1.07500     0.12500   102.98748
   1.10000     0.12500   101.86855
   1.12500     0.12500   102.59652
   1.15000     0.12500   102.20020
   1.17500     0.12500   102.57173
   1.20000     0.12500   102.35402
   1.22500     0.12500   102.17601
   1.25000     0.12500   102.48753
   1.27500     0.12500   102.00890
   1.30000     0.12500   102.56897
   1.32500     0.12500   102.56160
   1.35000     0.12500   102.18049
   1.37500     0.12500   102.34239
   1.40000     0.12500   102.71827
   1.42500     0.12500   102.55568
   1.45000     0.12500   102.52728
   1.47500     0.12500   102.27937
   1.50000     0.12500   103.13428
   1.52500     0.12500   102.40667
   1.55000     0.12500   102.47597
   1.57500     0.12500   102.97275
