# bifParam=meanDeficit, maxAmp, minAmp, x1_last, x2_last, y_last
2.5,1.25000000004e-05,1.25000000004e-05,4.06250625,4.06249375,7.5
2.51,1.25000000004e-05,1.25000000004e-05,4.06375625,4.06374375,7.5
2.52,1.24999999995e-05,1.24999999995e-05,4.06500625,4.06499375,7.5
2.53,1.25000000004e-05,1.25000000004e-05,4.06625625,4.06624375,7.5
2.54,1.24999999995e-05,1.24999999995e-05,4.06750625,4.06749375,7.5
2.55,1.24999999995e-05,1.24999999995e-05,4.06875625,4.06874375,7.5
2.56,1.25000000004e-05,1.25000000004e-05,4.07000625,4.06999375,7.5
2.57,1.25000000004e-05,1.25000000004e-05,4.07125625,4.07124375,7.5
2.58,1.24999999995e-05,1.24999999995e-05,4.07250625,4.07249375,7.5
2.59,1.25000000004e-05,1.25000000004e-05,4.07375625,4.07374375,7.5
2.6,1.25000000004e-05,1.25000000004e-05,4.07500625,4.07499375,7.5
2.61,1.24999999995e-05,1.24999999995e-05,4.07625625,4.07624375,7.5
2.62,1.24999999995e-05,1.24999999995e-05,4.07750625,4.07749375,7.5
2.63,1.25000000004e-05,1.25000000004e-05,4.07875625,4.07874375,7.5
2.64,1.24999999995e-05,1.24999999995e-05,4.08000625,4.07999375,7.5
2.65,1.24999999995e-05,1.24999999995e-05,4.08125625,4.08124375,7.5
2.66,1.24999999995e-05,1.24999999995e-05,4.08250625,4.08249375,7.5
2.67,1.25000000004e-05,1.25000000004e-05,4.08375625,4.08374375,7.5
2.68,1.24999999995e-05,1.24999999995e-05,4.08500625,4.08499375,7.5
2.69,1.24999999995e-05,1.24999999995e-05,4.08625625,4.08624375,7.5
2.7,1.25000000004e-05,1.25000000004e-05,4.08750625,4.08749375,7.5
2.71,1.25000000004e-05,1.25000000004e-05,4.08875625,4.08874375,7.5
2.72,1.24999999995e-05,1.24999999995e-05,4.09000625,4.08999375,7.5
2.73,1.25000000004e-05,1.25000000004e-05,4.09125625,4.09124375,7.5
2.74,1.25000000004e-05,1.25000000004e-05,4.09250625,4.09249375,7.5
2.75,1.25000000004e-05,1.25000000004e-05,4.09375625,4.09374375,7.5
2.76,1.24999999995e-05,1.24999999995e-05,4.09500625,4.09499375,7.5
2.77,1.25000000004e-05,1.25000000004e-05,4.09625625,4.09624375,7.5
2.7800000000000002,1.25000000004e-05,1.25000000004e-05,4.09750625,4.09749375,7.5
2.79,1.24999999995e-05,1.24999999995e-05,4.09875625,4.09874375,7.5
2.8,1.24999999995e-05,1.24999999995e-05,4.10000625,4.09999375,7.5
2.81,1.25000000004e-05,1.25000000004e-05,4.10125625,4.10124375,7.5
2.82,1.24999999995e-05,1.24999999995e-05,4.10250625,4.10249375,7.5
2.83,1.24999999995e-05,1.24999999995e-05,4.10375625,4.10374375,7.5
2.84,1.24999999995e-05,1.24999999995e-05,4.10500625,4.10499375,7.5
2.85,1.25000000004e-05,1.25000000004e-05,4.10625625,4.10624375,7.5
2.86,1.25000000004e-05,1.25000000004e-05,4.10750625,4.10749375,7.5
2.87,1.24999999995e-05,1.24999999995e-05,4.10875625,4.10874375,7.5
2.88,1.25000000004e-05,1.25000000004e-05,4.11000625,4.10999375,7.5
2.89,1.25000000004e-05,1.25000000004e-05,4.11125625,4.11124375,7.5
2.9,1.24999999995e-05,1.24999999995e-05,4.11250625,4.11249375,7.5
2.91,1.25000000004e-05,1.25000000004e-05,4.11375625,4.11374375,7.5
2.92,1.25000000004e-05,1.25000000004e-05,4.11500625,4.11499375,7.5
2.93,1.24999999995e-05,1.24999999995e-05,4.11625625,4.11624375,7.5
2.94,1.24999999995e-05,1.24999999995e-05,4.11750625,4.11749375,7.5
2.95,1.25000000004e-05,1.25000000004e-05,4.11875625,4.11874375,7.5
2.96,1.24999999995e-05,1.24999999995e-05,4.12000625,4.11999375,7.5
2.97,1.24999999995e-05,1.24999999995e-05,4.12125625,4.12124375,7.5
2.98,1.24999999995e-05,1.24999999995e-05,4.12250625,4.12249375,7.5
2.99,1.25000000004e-05,1.25000000004e-05,4.12375625,4.12374375,7.5
3.0,1.25000000004e-05,1.25000000004e-05,4.12500625,4.12499375,7.5
3.01,1.24999999995e-05,1.24999999995e-05,4.12625625,4.12624375,7.5
3.02,1.25000000004e-05,1.25000000004e-05,4.12750625,4.12749375,7.5
