# bifParam=meanDeficit, maxAmp, minAmp, x1_last, x2_last, y_last
2.5,4.06250625,4.06250625,4.06250625,0.0,3.77351417634
2.51,4.06375625,4.06375625,4.06375625,0.0,3.77351472265
2.52,4.06500625,4.06500625,4.06500625,0.0,3.77351526899
2.53,4.06625625,4.06625625,4.06625625,0.0,3.77351581535
2.54,4.06750625,4.06750625,4.06750625,0.0,3.77351636175
2.55,4.06875625,4.06875625,4.06875625,0.0,3.77351690816
2.56,4.07000625,4.07000625,4.07000625,0.0,3.77351745461
2.57,4.07125625,4.07125625,4.07125625,0.0,3.77351800108
2.58,4.07250625,4.07250625,4.07250625,0.0,3.77351854758
2.59,4.07375625,4.07375625,4.07375625,0.0,3.77351909411
2.6,4.07500625,4.07500625,4.07500625,0.0,3.77351964066
2.61,4.07625625,4.07625625,4.07625625,0.0,3.77352018724
2.62,4.07750625,4.07750625,4.07750625,0.0,3.77352073385
2.63,4.07875625,4.07875625,4.07875625,0.0,3.77352128048
2.64,4.08000625,4.08000625,4.08000625,0.0,3.77352182715
2.65,4.08125625,4.08125625,4.08125625,0.0,3.77352237383
2.66,4.08250625,4.08250625,4.08250625,0.0,3.77352292055
2.67,4.08375625,4.08375625,4.08375625,0.0,3.77352346729
2.68,4.08500625,4.08500625,4.08500625,0.0,3.77352401406
2.69,4.08625625,4.08625625,4.08625625,0.0,3.77352456086
2.7,4.08750625,4.08750625,4.08750625,0.0,3.77352510768
2.71,4.08875625,4.08875625,4.08875625,0.0,3.77352565453
2.72,4.09000625,4.09000625,4.09000625,0.0,3.77352620141
2.73,4.09125625,4.09125625,4.09125625,0.0,3.77352674832
2.74,4.09250625,4.09250625,4.09250625,0.0,3.77352729525
2.75,4.09375625,4.09375625,4.09375625,0.0,3.77352784221
2.76,4.09500625,4.09500625,4.09500625,0.0,3.77352838919
2.77,4.09625625,4.09625625,4.09625625,0.0,3.7735289362
2.7800000000000002,4.09750625,4.09750625,4.09750625,0.0,3.77352948324
2.79,4.09875625,4.09875625,4.09875625,0.0,3.77353003031
2.8,4.10000625,4.10000625,4.10000625,0.0,3.77353057741
2.81,4.10125625,4.10125625,4.10125625,0.0,3.77353112453
2.82,4.10250625,4.10250625,4.10250625,0.0,3.77353167167
2.83,4.10375625,4.10375625,4.10375625,0.0,3.77353221885
