# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,84.0410737044,0.747031766261,0.00230459353086,8.25,6.66614581299
1.0,3,85.6028100186,0.760913866832,0.00805816635462,8.25,6.66614581299
1.5,3,82.2900365271,0.731466991352,5.55111512313e-16,8.25,6.66614581299
2.0,3,89.1633696046,0.792563285374,0.010705831446,8.25,6.66614581299
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,83.6965110602,0.743968987202,0.0023067994215,8.3,6.60378679244
1.0,3,84.9035791014,0.754698480901,0.006440116539,8.3,6.60378679244
1.5,3,82.0435185363,0.729275720323,1.44328993201e-15,8.3,6.60378679244
2.0,3,88.5340635544,0.786969453817,0.0101767684014,8.3,6.60378679244
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,83.3643311618,0.741016276993,0.00229547065286,8.35,6.54045105478
1.0,3,84.3392838811,0.749682523388,0.00465100555621,8.35,6.54045105478
1.5,3,81.7967813196,0.727082500619,1.33226762955e-15,8.35,6.54045105478
2.0,3,87.9388573827,0.78167873229,0.00963180272955,8.35,6.54045105478
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,83.0288864113,0.738034545878,0.00210936764905,8.4,6.47610994348
1.0,3,83.9770815616,0.746462947214,0.00398756452278,8.4,6.47610994348
1.5,3,81.5498248785,0.724887332254,2.44249065418e-15,8.4,6.47610994348
2.0,3,87.3209362779,0.776186100248,0.00879316448124,8.4,6.47610994348
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,82.7002168418,0.735113038594,0.00208369876918,8.45,6.4107331874
1.0,3,83.6355389479,0.743427012871,0.00408675198122,8.45,6.4107331874
1.5,3,81.3026561282,0.722690276695,2.33146835171e-15,8.45,6.4107331874
2.0,3,86.7465054122,0.771080048108,0.00830762588247,8.45,6.4107331874
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,82.3592199539,0.732081955146,0.00189751240149,8.5,6.34428877022
1.0,3,83.3031283144,0.740472251683,0.00375253979548,8.5,6.34428877022
1.5,3,81.0552815854,0.72049139187,7.77156117238e-16,8.5,6.34428877022
2.0,3,81.0552815854,0.72049139187,7.77156117238e-16,8.5,6.34428877022
