# r, beta, Ep, EpNorm, EpNormStd, v1, v2
1.0,3,94.1519088955,0.836905856849,0.00537296395213,8.35,6.54045105478
1.5,3,110.634099114,0.983414214351,0.00196162677864,8.35,6.54045105478
2.0,3,111.387554466,0.990111595256,4.82077545376e-07,8.35,6.54045105478
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,80.7658641317,0.717918792282,0.00723910814029,8.4,6.47610994348
1.0,3,93.5270170811,0.831351262943,0.00512104606899,8.4,6.47610994348
1.5,3,110.486863461,0.982105452988,0.00208945933138,8.4,6.47610994348
2.0,3,111.38750833,0.990111185155,6.62266524421e-06,8.4,6.47610994348
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,80.3819381292,0.714506116704,0.00392509752949,8.45,6.4107331874
1.0,3,92.9388473953,0.826123087958,0.0048783632592,8.45,6.4107331874
1.5,3,110.317510681,0.980600094943,0.00225994406502,8.45,6.4107331874
2.0,3,111.387508772,0.990111189081,5.8623400893e-06,8.45,6.4107331874
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,80.1083107711,0.712073873521,0.00233602023775,8.5,6.34428877022
1.0,3,92.3743749018,0.821105554683,0.00448147767104,8.5,6.34428877022
1.5,3,110.144313479,0.979060564261,0.00236527797399,8.5,6.34428877022
2.0,3,111.387524896,0.990111332412,4.47614688196e-06,8.5,6.34428877022
